HRAF.culture,tip.label,Expression,Restrictiveness,lat,long,Subsistence_Pattern,Subsistence,Biome,Landscape,MeanMonthlyTemperature,Temperature_Predictability,Temperature_Variance,Precipitation_Variance,MeanMonthlyPrecipitation,Precipitation_Predictability,Men_Poly
Babylonians,Babylonians,1,3,33,45,Intensive Agricultralists,Agriculture,Deserts & Xeric Shrublands,Deserts,23,0.640160674,111,171992938,7852.64,0.347395525,0
Zuni,Zuni,0,0,36,-109,Intensive Agricultralists,Agriculture,Deserts & Xeric Shrublands,Deserts,10,0.57931965,103,789133236,41598.73,0.5558235,0
Teda,Teda,1,1,21,18,Agro-Pastoralists,Agriculture,Deserts & Xeric Shrublands,Deserts,22,0.641627338,46,156975917,5593.44,0.303939394,10
O'odham,Papago,1,3,32,-112,Other Combos,Agriculture,Deserts & Xeric Shrublands,Deserts,22,0.614612452,62,704821052,24749.74,0.403531842,27
Nubians,Kenuzi_Nubians,1,1,23,39,Horticultralists,Horticulture,Deserts & Xeric Shrublands,Deserts,27,0.725292015,24,185140467,6403.37,0.249339973,
Aranda,Aranda,1,2,-24,134,Hunter-Gatherers,Hunter-Gatherers,Deserts & Xeric Shrublands,Deserts,21,0.591495003,37,3710057302,61707.63,0.452378106,60
Eastern Apache,Chiricahua,1,1,32,-110,Hunter-Gatherers,Hunter-Gatherers,Deserts & Xeric Shrublands,Deserts,14,0.605925134,70,1165794130,44151.73,0.51981461,18
Northern Paiute,Paiute_North,1,3,43,-119,Hunter-Gatherers,Hunter-Gatherers,Deserts & Xeric Shrublands,Deserts,7,0.550759337,84,1342878435,54119.16,0.596869848,12
Tuareg,Tuareg,1,3,23,7,Agro-Pastoralists,Pastoralism,Deserts & Xeric Shrublands,Deserts,20,0.637141328,55,203070726,5723.95,0.27951869,0
Goajiro,Goajiro,1,1,12,-72,Pastoralists,Pastoralism,Deserts & Xeric Shrublands,Deserts,26,0.858467477,1,690620975,25502.4,0.695438965,40
Khoi,Nama_Hottentot,1,2,-28,17,Pastoralists,Pastoralism,Deserts & Xeric Shrublands,Deserts,19,0.669471417,11,386520648,17684.07,0.552160071,5
Rwala Bedouin,Rwala_Bedouin,1,2,33,39,Pastoralists,Pastoralism,Deserts & Xeric Shrublands,Deserts,16,0.622996025,80,193864145,13405.26,0.459266012,
Aleut,Aleut,1,2,55,-163,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,3,0.647161133,12,992190434,81344.05,0.750429141,20
Nivkhs,Gilyak,1,2,53,142,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-3,0.532602438,230,1086199659,53529.82,0.636441967,1
Ingalik,Ingalik,1,3,63,-160,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-4,0.457029625,126,886700089,58884.32,0.664050635,4
Kaska,Kaska,1,3,60,-131,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-5,0.483030316,109,1398625820,81754.23,0.711216025,2
Innu,Montagnais,1,3,50,-74,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,0,0.533263018,175,1142304198,77742.71,0.735906007,7
Ojibwa,Saulteaux,1,2,52,-96,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,1,0.503938367,226,506258689,42363.34,0.682821213,2
Slavey,Slave,1,3,61,-120,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,-3,0.467644261,212,263255952,29515.94,0.670022065,2
Saami,Lapps,1,2,69,22,Pastoralists,Pastoralism,Boreal Forests/Taiga,Forests,-3,0.521744634,92,713389583,65438.05,0.731691465,0
Mapuche,Mapuche,0,0,-39,-73,Intensive Agricultralists,Agriculture,"Mediterranean Forests, Woodlands, & Scrub",Forests,12,0.729435579,12,4295021417,72565.78,0.614944272,6
Eastern Pomo,MISSING_Pomo_Eastern,1,1,39,-123,Intensive Agricultralists,Agriculture,"Mediterranean Forests, Woodlands, & Scrub",Forests,14,0.666567942,16,6496817890,63918.09,0.488241822,2
Imperial Romans,Romans,1,1,42,12,Intensive Agricultralists,Agriculture,"Mediterranean Forests, Woodlands, & Scrub",Forests,15,0.653850112,40,1651724949,55827.23,0.58798742,0
Berbers or Morocco,Riffians,1,1,35,-3,Agro-Pastoralists,Agriculture,"Mediterranean Forests, Woodlands, & Scrub",Forests,19,0.655456608,35,374401020,20103.01,0.456040806,11
Han Chinese,Chinese,1,2,37,118,Intensive Agricultralists,Agriculture,Temperate Broadleaf & Mixed Forests,Forests,12,0.618389052,142,6707887952,73714.84,0.493192614,0
Okayama,Japanese,1,2,35,134,Intensive Agricultralists,Agriculture,Temperate Broadleaf & Mixed Forests,Forests,14,0.656782616,68,7394435303,132984.24,0.656782616,0
Korea,Koreans,1,2,38,126,Intensive Agricultralists,Agriculture,Temperate Broadleaf & Mixed Forests,Forests,11,0.676033933,100,6186705294,79581.2,0.571090278,1
Manchu,Manchu,1,2,50,126,Intensive Agricultralists,Agriculture,Temperate Broadleaf & Mixed Forests,Forests,-1,0.568257375,263,3547577607,53252.19,0.617193659,0
Basques,Basques,1,1,43,-2,Agro-Pastoralists,Agriculture,Temperate Broadleaf & Mixed Forests,Forests,14,0.691022688,15,1866041422,72670.8,0.641531828,0
Rural Irish,Irish,1,1,54,-10,Agro-Pastoralists,Agriculture,Temperate Broadleaf & Mixed Forests,Forests,11,0.748178587,8,3491045078,132987.16,0.76708049,0
Huron,MISSING_Huron,1,3,45,-79,Other Combos,Horticulture,Temperate Broadleaf & Mixed Forests,Forests,7,0.668149871,135,1124859360,76328.79,0.668149871,0
Creek,Creek,1,3,33,-86,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,16,0.621906609,56,2746224264,104125.27,0.652124125,
Maori,Maori,1,3,-35,174,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,17,0.777040984,9,2880919131,96335.55,0.621173695,1
Mi'kmaq,Micmac,1,3,47,-65,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,6,0.580414978,118,1638214920,99384.77,0.708767505,13
Yahgan,Yahgan,0,0,-56,-70,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,4,0.718842882,4,671652292,107757.57,0.817754903,5
Kurds,Kurd,1,2,37,45,Pastoralists,Pastoralism,Temperate Broadleaf & Mixed Forests,Forests,15,0.610643704,120,1516010607,38059.23,0.451745288,4
Havasupai,Havasupai,1,2,36,-112,Other Combos,Agriculture,Temperate Conifer Forests,Forests,12,0.588108958,95,1623479162,39414.62,0.44606464,10
Ainu,Ainu,1,2,44,144,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,7,0.610077986,108,3293987850,105774.09,0.702515747,1
Nuxalk,Bellacoola,1,2,52,-127,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,2,0.541918409,49,16364533162,192758.49,0.674157665,
Eyak,Eyak,1,3,61,-145,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,-1,0.541454996,39,6981751820,174457.36,0.667805767,
Haida,Haida,1,3,54,-133,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,7,0.633101313,12,4443168997,110998.47,0.709648746,
Klamath,MISSING_Klamath,1,3,43,-122,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,8,0.568131431,50,15025939486,133841.31,0.582081243,20
Yurok,MISSING_Yurok,1,3,42,-124,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,12,0.65134887,13,10790474701,101372.28,0.587750387,4
Santal,Santal,1,2,24,87,Intensive Agricultralists,Agriculture,Tropical & Subtropical Dry Broadleaf Forests,Forests,25,0.642094263,33,14510681796,113006.54,0.486404492,2
Nahua,Aztec,1,2,19,-99,Other Combos,Agriculture,Tropical & Subtropical Dry Broadleaf Forests,Forests,14,0.760565231,6,8269156567,119352.15,0.658068088,
Alorese,Alorese,1,2,-8,125,Horticultralists,Horticulture,Tropical & Subtropical Dry Broadleaf Forests,Forests,27,0.834456265,0,23833377925,168015.15,0.604145283,27
Huichol,Huichol,0,0,22,-105,Other Combos,Horticulture,Tropical & Subtropical Dry Broadleaf Forests,Forests,23,0.80148585,4,16962515259,140587.69,0.589552149,
Yapese,Yapese,1,3,10,138,Other Combos,Horticulture,Tropical & Subtropical Dry Broadleaf Forests,Forests,28,0.843143845,0,11339982121,240615.97,0.685111424,5
Vedda,Vedda,0,0,8,81,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Dry Broadleaf Forests,Forests,26,0.823363068,1,20512809565,184632.91,0.632752036,0
